iter	Logloss
0	0.4551796954
1	0.3018465018
2	0.2042209867
3	0.1418629412
4	0.101386809
5	0.07452594446
6	0.05629316524
7	0.04359912497
8	0.03452933446
9	0.02791082777
10	0.02299959252
11	0.01924504432
12	0.01634973374
13	0.01406525251
14	0.01223912519
15	0.01076151918
16	0.009555740358
17	0.008544958234
18	0.007704566301
19	0.006996033804
20	0.006380513704
21	0.005855248363
22	0.005399278293
23	0.005002130618
24	0.004650377862
25	0.004344653565
26	0.004068790428
27	0.003817423224
28	0.003601937199
29	0.003401838678
